frame_id,x1,y1,x2,y2
2,928,637,1054,720
2,235,402,437,632
2,351,0,456,48
3,1107,693,1172,720
3,1169,691,1204,720
3,928,637,1060,720
3,978,627,1044,669
3,236,394,487,632
3,457,0,626,29
3,348,0,460,48
4,1100,677,1194,720
4,928,618,1056,720
4,225,385,502,632
4,1197,92,1266,213
4,561,0,632,29
4,348,0,566,50
5,1091,657,1208,720
5,923,599,1063,720
5,218,378,524,632
5,1196,92,1267,217
5,344,0,651,50
6,505,677,614,720
6,1085,620,1263,720
6,875,571,1080,720
6,169,362,543,632
6,1185,91,1267,222
6,36,0,667,53
7,507,669,614,720
7,1205,657,1273,720
7,779,572,903,624
7,896,565,1221,720
7,168,354,565,636
7,1184,91,1267,221
7,573,0,667,26
7,0,0,593,53
8,504,656,682,720
8,1051,586,1280,720
8,775,562,903,624
8,872,521,1088,720
8,168,346,570,635
8,0,151,129,203
8,1184,92,1268,220
8,533,0,692,27
8,0,0,597,74
9,509,642,712,720
9,779,572,903,624
9,872,521,1280,720
9,168,337,578,636
9,0,151,130,203
9,1184,92,1268,219
9,573,0,692,25
9,0,0,601,91
10,510,628,747,720
10,779,572,919,623
10,1026,554,1280,720
10,816,525,1089,720
10,879,466,969,504
10,168,331,576,634
10,0,150,147,203
10,1184,92,1268,217
10,35,89,145,144
10,0,0,692,92
11,506,601,791,720
11,737,505,1280,720
11,879,465,969,504
11,796,318,910,407
11,168,316,607,634
11,0,219,168,277
11,0,209,212,291
11,0,147,148,222
11,66,113,151,149
11,1184,92,1268,217
11,0,0,695,124
12,509,588,826,720
12,737,465,1280,720
12,168,309,591,634
12,798,303,921,418
12,0,219,168,277
12,0,208,212,291
12,0,147,148,224
12,66,113,145,139
12,1184,92,1269,216
12,0,0,707,134
13,507,574,816,720
13,737,465,1280,720
13,797,303,915,418
13,168,300,613,637
13,0,219,168,277
13,0,208,212,291
13,0,147,152,224
13,1184,92,1269,216
13,0,0,706,139
14,8,612,50,720
14,507,559,816,720
14,736,465,1280,720
14,797,303,911,424
14,168,294,613,637
14,0,219,168,277
14,0,208,212,291
14,0,147,152,237
14,1184,92,1269,215
14,1177,0,1225,42
14,0,0,707,139
15,8,612,50,720
15,499,546,816,720
15,736,457,1280,720
15,798,308,915,460
15,168,288,629,643
15,797,249,898,338
15,0,212,212,291
15,0,208,204,282
15,0,146,150,228
15,1184,92,1270,232
15,1177,0,1225,43
15,0,0,709,206
16,8,611,50,720
16,499,437,1280,720
16,797,308,952,459
16,168,274,628,637
16,797,255,898,338
16,0,207,212,291
16,0,139,211,229
16,1184,92,1272,233
16,1177,0,1226,44
16,0,0,709,139
17,167,682,219,720
17,218,678,317,720
17,1068,658,1135,720
17,8,611,50,720
17,499,422,1280,720
17,797,308,914,455
17,168,267,636,634
17,797,247,898,337
17,0,207,212,291
17,464,163,543,177
17,0,139,211,241
17,1184,92,1273,234
17,1177,0,1221,43
17,0,0,710,139
18,173,664,343,720
18,1062,649,1134,720
18,8,611,50,720
18,502,308,1280,720
