frame_id,x1,y1,x2,y2,confidence,class_id,class_name
73,756,264,833,430,0.509013831615448,0,person
73,634,380,731,608,0.2654207646846771,0,person
74,578,181,650,340,0.4802953600883484,0,person
74,760,256,830,425,0.3715192973613739,0,person
74,367,323,421,454,0.33586689829826355,0,person
74,79,401,220,601,0.2505935728549957,0,person
75,373,313,430,431,0.4946291744709015,0,person
75,738,248,833,418,0.42821720242500305,0,person
75,644,361,729,576,0.3410402536392212,0,person
76,750,241,832,413,0.6058415770530701,0,person
76,47,604,145,720,0.4815811514854431,0,person
76,102,380,204,574,0.3627009987831116,0,person
78,401,267,457,382,0.39305028319358826,0,person
78,131,349,244,483,0.2673734426498413,0,person
79,409,263,460,374,0.3584146201610565,0,person
80,415,254,501,424,0.3423255383968353,0,person
81,166,529,383,687,0.25260335206985474,31,snowboard
88,294,361,365,473,0.26519885659217834,0,person
89,485,166,524,256,0.31476977467536926,0,person
90,255,335,408,449,0.32559043169021606,0,person
91,326,325,415,436,0.2750573456287384,0,person
94,240,211,330,348,0.5575272440910339,0,person
94,367,284,452,404,0.5415092706680298,0,person
95,375,276,457,386,0.3764015734195709,0,person
96,392,266,467,376,0.5048848390579224,0,person
97,363,247,474,409,0.5412917137145996,0,person
98,423,242,490,358,0.4056759178638458,0,person
99,432,233,503,347,0.2784350514411926,0,person
100,443,224,511,319,0.4308272898197174,0,person
100,437,225,513,359,0.37225472927093506,0,person
101,443,216,517,312,0.3220427632331848,0,person
102,467,200,532,297,0.5413739085197449,0,person
103,472,191,538,296,0.6875622272491455,0,person
103,274,160,325,280,0.41080883145332336,0,person
104,483,181,541,268,0.35399630665779114,0,person
105,488,176,549,284,0.6793218851089478,0,person
106,497,166,560,270,0.5378286838531494,0,person
106,0,190,214,289,0.25042688846588135,8,boat
109,521,140,580,240,0.3945971429347992,0,person
109,513,140,582,265,0.3087436556816101,0,person
110,0,132,212,287,0.47737231850624084,8,boat
110,530,135,583,236,0.34334370493888855,0,person
110,0,189,212,288,0.32782161235809326,8,boat
110,517,135,586,264,0.3138769567012787,0,person
111,0,125,212,288,0.4092908203601837,8,boat
111,507,173,542,251,0.30291715264320374,9,traffic light
112,0,114,212,289,0.36340194940567017,8,boat
114,559,108,602,177,0.2820121645927429,0,person
114,0,158,214,289,0.25288328528404236,8,boat
115,999,249,1279,467,0.3360222578048706,74,clock
115,290,116,337,195,0.2538799047470093,0,person
116,996,241,1279,543,0.41961798071861267,8,boat
119,984,205,1261,472,0.49566495418548584,8,boat
121,977,189,1242,459,0.3685881197452545,8,boat
122,975,175,1227,417,0.5006437301635742,8,boat
123,973,166,1219,400,0.44665729999542236,8,boat
124,968,161,1216,425,0.8165246248245239,8,boat
124,461,508,786,715,0.25477105379104614,1,bicycle
125,969,153,1205,404,0.7731395959854126,8,boat
126,964,143,1199,391,0.6750196218490601,8,boat
126,89,611,245,720,0.5999911427497864,0,person
