frame_id,x1,y1,x2,y2,score
1,349,1,608,42,0.997478187084198
1,248,413,367,540,0.9934896230697632
1,1200,131,1253,223,0.9647912383079529
1,1188,91,1261,201,0.9516566395759583
1,772,206,1130,704,0.8857603669166565
1,232,464,380,612,0.7157373428344727
1,1176,1,1220,40,0.6954742074012756
1,1,13,190,290,0.5892382860183716
2,363,1,607,41,0.9982530474662781
2,260,402,370,540,0.9967966675758362
2,1200,132,1254,223,0.9642475843429565
2,248,450,389,601,0.9619017839431763
2,1187,91,1261,202,0.9486801028251648
2,771,205,1121,701,0.8955885171890259
2,1175,0,1221,38,0.74399733543396
2,1,17,192,292,0.651269257068634
2,318,440,388,515,0.5334497690200806
3,364,0,614,41,0.998754620552063
3,273,393,383,538,0.986588180065155
3,1190,91,1261,202,0.9746243953704834
3,1201,132,1254,223,0.9660059213638306
3,262,446,392,591,0.958808183670044
3,756,197,1124,702,0.8688199520111084
3,1175,0,1221,38,0.7131744623184204
3,1,17,190,291,0.6191346049308777
4,372,0,613,40,0.9988572597503662
4,283,385,392,521,0.9957084655761719
4,268,463,382,584,0.9806174635887146
4,1200,129,1255,223,0.9745671153068542
4,1189,91,1261,201,0.9552236795425415
4,1177,2,1221,39,0.8281877636909485
4,756,195,1142,704,0.7605259418487549
4,353,425,404,498,0.6142001748085022
4,1,15,191,292,0.5748856067657471
5,377,0,619,41,0.9985906481742859
5,295,376,399,514,0.9939070343971252
5,1201,132,1255,224,0.9761348366737366
5,1189,91,1262,202,0.97219318151474
5,283,432,411,569,0.9622012376785278
5,1177,2,1221,39,0.7964678406715393
5,757,205,1147,692,0.7710368037223816
5,0,16,190,292,0.5887300968170166
6,393,1,633,39,0.9990272521972656
6,315,361,412,497,0.9940645098686218
6,303,418,422,553,0.9841977953910828
6,1199,133,1255,225,0.970556378364563
6,1188,91,1260,205,0.9705487489700317
6,1177,2,1221,38,0.879719614982605
6,1090,628,1207,716,0.8017888069152832
6,770,208,1135,705,0.7012907266616821
6,0,25,191,292,0.5686014294624329
6,404,413,433,473,0.5557755827903748
7,394,1,640,39,0.999131977558136
7,325,355,422,490,0.991715133190155
7,1187,92,1261,205,0.9764386415481567
7,1200,135,1256,225,0.9762998223304749
7,316,414,436,542,0.9626314043998718
7,1087,611,1214,718,0.9585421681404114
7,1175,0,1221,38,0.7402520179748535
7,764,211,1135,700,0.7281360030174255
7,406,403,440,464,0.6397039890289307
7,344,389,437,466,0.5421891808509827
7,506,665,617,720,0.5231209397315979
8,400,1,641,37,0.9987984895706177
8,336,346,431,485,0.9917832612991333
8,328,397,446,528,0.9807323813438416
8,1196,135,1256,225,0.9663840532302856
8,1187,93,1262,208,0.9658055901527405
8,1175,0,1222,37,0.8189007639884949
8,1086,592,1217,718,0.7436306476593018
8,768,213,1156,707,0.7327606678009033
8,504,655,633,720,0.68914794921875
8,364,2,394,15,0.6173744797706604
8,0,19,189,286,0.5418992638587952
8,397,389,448,459,0.5088776350021362
8,1094,589,1214,718,0.5073818564414978
9,407,1,639,37,0.9982832670211792
9,344,339,441,482,0.9838498830795288
9,1082,575,1206,714,0.9835076332092285
9,1188,93,1263,207,0.9826325178146362
9,1199,138,1254,227,0.9804972410202026
9,335,396,451,523,0.9777293801307678
9,918,558,986,703,0.9594542980194092
9,1177,1,1221,39,0.8742244243621826
9,511,643,629,720,0.814287543296814
9,3,45,197,284,0.5744639039039612
9,750,201,1098,703,0.5375308990478516
10,411,1,645,37,0.998712420463562
10,359,333,451,452,0.9921872615814209
10,1188,93,1263,208,0.9840763211250305
10,1200,142,1253,228,0.9771957397460938
10,345,384,465,513,0.970885157585144
10,1076,559,1200,711,0.9600533246994019
10,1177,1,1221,38,0.8074728846549988
10,769,205,1123,709,0.6830973029136658
10,0,14,194,285,0.5822373032569885
10,364,1,395,15,0.5737780928611755
11,425,1,656,34,0.9986541271209717
11,377,317,471,445,0.9965858459472656
11,366,374,479,494,0.9799893498420715
11,1187,96,1261,211,0.9782038927078247
11,1201,143,1255,229,0.9757220149040222
11,501,601,638,719,0.9607213735580444
11,1074,532,1192,696,0.8253470063209534
11,1176,1,1220,38,0.6678135991096497
11,364,1,395,15,0.5977692604064941
11,2,31,195,284,0.5774812698364258
11,366,413,441,495,0.5243828296661377
12,430,1,670,33,0.9985275268554688
12,377,364,489,486,0.9912410378456116
12,388,313,477,448,0.9903585314750671
12,1073,514,1184,693,0.980595588684082
12,1198,139,1256,230,0.9686036109924316
12,1188,98,1262,208,0.9614773392677307
12,510,586,641,716,0.9388341307640076
12,912,585,955,700,0.6196572184562683
12,364,1,395,15,0.5566667914390564
13,435,1,678,32,0.9989269375801086
13,393,303,483,433,0.9965728521347046
13,1072,501,1179,673,0.9927144646644592
13,385,357,497,479,0.9716031551361084
13,1189,94,1263,207,0.961511492729187
13,1194,133,1257,229,0.9456223249435425
13,515,575,642,717,0.6882135272026062
14,441,1,672,30,0.9986559152603149
14,403,297,494,426,0.9957742094993591
14,395,350,505,466,0.9908125996589661
14,1065,485,1172,677,0.9869542717933655
14,1188,99,1260,210,0.9737018346786499
14,517,563,650,718,0.9573850631713867
14,1193,133,1261,231,0.9558393955230713
14,363,1,394,14,0.6528286933898926
14,1,29,191,276,0.5521641373634338
15,449,0,674,30,0.9980064034461975
15,412,287,502,417,0.9950482249259949
15,1061,471,1168,669,0.9821632504463196
15,1189,96,1262,213,0.9817652702331543
15,521,551,652,718,0.9694068431854248
15,406,349,508,459,0.9638791084289551
15,1204,154,1251,231,0.9433749318122864
15,363,0,394,13,0.8450382947921753
15,894,458,1121,707,0.7557559013366699
15,1,19,184,271,0.64591383934021
15,415,0,443,8,0.6089847683906555
15,1192,129,1266,230,0.5422515869140625
16,453,0,682,27,0.9957489967346191
16,1054,441,1157,595,0.9952898025512695
16,431,275,520,399,0.9940621256828308
16,424,337,527,442,0.9541686177253723
16,1203,150,1254,232,0.9540989995002747
16,1191,107,1259,212,0.9525036215782166
16,563,669,601,720,0.8665698766708374
16,529,525,655,715,0.858466386795044
16,918,447,1016,581,0.573318600654602
16,1194,117,1267,234,0.548199474811554
17,1055,426,1152,603,0.9971952438354492
17,436,268,524,397,0.9954279661178589
17,466,0,678,28,0.9948571920394897
17,1204,153,1255,233,0.9602148532867432
17,1190,106,1259,211,0.9600510001182556
17,432,332,534,435,0.9393446445465088
17,535,528,652,696,0.894069492816925
17,1070,458,1138,544,0.7725099921226501
17,567,655,603,713,0.6112940311431885
17,435,361,500,435,0.5922979116439819
17,1255,521,1280,661,0.5826820135116577
17,1193,120,1267,236,0.561694860458374
17,1045,437,1085,560,0.519544780254364
18,442,259,537,406,0.9971873164176941
18,1054,415,1150,568,0.9949744939804077
18,1190,99,1266,217,0.9905145168304443
18,470,0,681,26,0.9898996949195862
18,1205,163,1255,233,0.9674682021141052
18,899,432,1004,604,0.9345606565475464
18,439,324,536,427,0.9324096441268921
18,542,506,658,679,0.9236041307449341
18,1253,526,1279,626,0.5068223476409912
19,454,256,541,384,0.9934316277503967
19,1041,399,1140,559,0.9918227791786194
19,479,0,685,26,0.9866331815719604
19,1192,101,1265,218,0.9837950468063354
19,1205,165,1256,233,0.9745190143585205
19,448,318,545,422,0.9588229656219482
19,551,497,655,664,0.9250406622886658
19,174,649,319,719,0.9175346493721008
19,624,513,667,651,0.6469054222106934
19,1247,509,1280,615,0.5854621529579163
19,1050,480,1127,602,0.5719188451766968
20,463,250,546,374,0.9946145415306091
20,1046,387,1137,535,0.9940735697746277
20,1195,99,1269,219,0.9840549826622009
20,482,0,681,26,0.9714930057525635
20,458,308,549,410,0.9696490168571472
20,1206,167,1257,235,0.9625048637390137
20,236,644,328,720,0.9565690159797668
20,570,484,662,635,0.911208987236023
20,1039,431,1122,579,0.8473953604698181
20,148,532,433,712,0.8422779440879822
20,1240,491,1279,594,0.8342742919921875
20,913,408,998,545,0.7651835680007935
20,1257,560,1279,616,0.5527043342590332
20,864,437,1106,685,0.5457214117050171
20,1063,500,1119,580,0.5325291752815247
21,479,235,564,360,0.995389461517334
21,1038,362,1129,489,0.9901492595672607
21,1195,100,1273,218,0.9802855253219604
21,247,587,373,718,0.9731405973434448
21,474,304,563,395,0.9529907703399658
21,1034,390,1115,554,0.9484022259712219
21,1205,148,1266,239,0.9483214616775513
21,565,465,671,630,0.947233259677887
21,1224,471,1279,622,0.9434690475463867
21,505,0,679,20,0.8750947713851929
21,162,533,457,710,0.859386146068573
21,568,548,652,673,0.7331519722938538
21,1046,453,1111,554,0.7011975049972534
21,929,392,991,490,0.6909170746803284
22,485,231,568,355,0.9974580407142639
22,1196,101,1275,219,0.9898837804794312
22,561,465,672,618,0.9752033948898315
22,1034,344,1124,482,0.9427896738052368
22,264,570,386,700,0.9144474864006042
22,1030,402,1116,541,0.9086502194404602
22,481,298,572,387,0.9020283222198486
22,1201,143,1267,237,0.8526298403739929
22,959,657,1063,720,0.7882182002067566
22,1229,457,1279,559,0.7507947087287903
22,506,0,675,18,0.6780351996421814
22,1227,465,1279,616,0.6624013781547546
22,193,544,446,716,0.6084299087524414
22,602,456,665,591,0.551536500453949
22,873,405,994,555,0.5351870656013489
22,914,403,986,515,0.5004795789718628
23,492,225,573,351,0.997547447681427
23,1196,102,1275,218,0.9920610189437866
23,571,454,672,617,0.9749319553375244
23,490,286,575,379,0.9718436002731323
23,1220,446,1279,611,0.9634815454483032
23,1028,353,1116,522,0.9606208205223083
23,1034,330,1121,468,0.9550298452377319
23,284,558,402,699,0.9419702887535095
23,1202,147,1267,240,0.9285213351249695
23,1224,431,1280,544,0.924720048904419
23,261,554,319,644,0.8428768515586853
23,937,371,972,405,0.7466467022895813
23,516,0,676,18,0.660304605960846
23,651,460,678,501,0.6475192308425903
23,932,377,984,495,0.575838029384613
23,936,371,977,433,0.5330894589424133
24,501,217,580,350,0.9966499209403992
24,1031,318,1115,457,0.9891324639320374
24,1196,103,1275,217,0.9889290928840637
24,501,280,585,372,0.9788636565208435
24,576,442,677,590,0.9776933789253235
24,1214,424,1278,528,0.9646800756454468
24,283,539,414,707,0.957216739654541
24,1217,160,1266,242,0.9526636004447937
24,1216,435,1279,609,0.9401737451553345
24,1031,402,1100,510,0.9179097414016724
24,499,303,558,374,0.8901973962783813
24,888,373,986,505,0.8476319313049316
24,922,361,986,436,0.8357267379760742
24,1232,500,1279,612,0.749008059501648
24,1264,399,1280,430,0.669289231300354
24,340,555,415,698,0.6066869497299194
25,509,209,587,336,0.9961147308349609
25,1027,305,1110,443,0.995854914188385
25,1211,408,1280,599,0.9919530749320984
25,1200,104,1275,219,0.9856772422790527
25,579,434,675,580,0.9775702953338623
25,1218,161,1268,245,0.9635035991668701
25,907,351,984,496,0.9579610228538513
25,506,277,589,367,0.9434373378753662
25,1030,394,1098,494,0.9416531920433044
25,329,534,420,670,0.9089844822883606
25,1220,393,1278,536,0.8880668878555298
25,585,504,665,622,0.8464314341545105
25,159,515,448,704,0.672217071056366
25,888,414,933,510,0.5672693848609924
26,524,200,595,315,0.9975849390029907
26,322,494,436,652,0.9878363013267517
26,1196,398,1276,571,0.9860365986824036
26,586,411,681,555,0.983004093170166
26,1202,365,1279,508,0.9733077883720398
26,895,339,981,496,0.9640254378318787
26,1207,105,1277,218,0.9454067349433899
26,1207,143,1277,246,0.9270252585411072
26,521,264,602,350,0.9062745571136475
26,391,521,444,637,0.8322363495826721
26,1016,283,1103,422,0.8310909271240234
26,599,471,667,602,0.780247688293457
26,1012,298,1101,456,0.7476614713668823
26,921,335,979,457,0.6758323907852173
26,938,567,972,608,0.5145966410636902
27,529,194,603,318,0.9977021813392639
27,1202,358,1279,485,0.984877347946167
27,592,394,686,553,0.9824486374855042
27,350,482,447,624,0.971183717250824
27,1197,408,1276,560,0.9634058475494385
27,1208,106,1279,226,0.9588959813117981
27,1205,145,1278,246,0.9515367150306702
27,881,327,977,486,0.9354919791221619
27,530,277,583,344,0.9103118181228638
27,1012,273,1099,409,0.8873329758644104
27,389,496,452,617,0.8134806752204895
27,597,459,671,585,0.731440544128418
27,1010,293,1098,451,0.631666898727417
28,539,187,612,312,0.992673933506012
28,1013,265,1096,387,0.9923088550567627
28,596,389,684,543,0.9908854365348816
28,1197,349,1277,482,0.9855670928955078
28,345,461,456,615,0.9776118993759155
28,540,256,612,338,0.9642513990402222
28,1189,379,1275,542,0.9267939925193787
28,1209,106,1279,225,0.9258687496185303
28,1217,145,1279,248,0.8804547190666199
28,886,319,977,471,0.8480362892150879
28,1014,332,1084,435,0.8469187021255493
28,610,496,662,579,0.8439049124717712
28,788,666,873,720,0.7201409339904785
28,67,548,197,708,0.5636522769927979
28,889,336,977,504,0.5041579008102417
29,545,184,616,299,0.9966890215873718
29,1011,253,1090,382,0.9935770630836487
29,357,450,464,594,0.9916139841079712
29,1189,335,1277,469,0.9898099899291992
29,600,380,692,535,0.9760240912437439
29,1187,400,1270,536,0.9747183322906494
29,882,310,973,474,0.9642176628112793
29,788,653,890,719,0.9550923705101013
29,1209,109,1280,228,0.9305033683776855
29,542,250,618,333,0.9075103998184204
29,1010,321,1079,422,0.8839136958122253
29,606,457,677,563,0.8735871911048889
29,1235,165,1280,247,0.8572565913200378
29,79,529,225,714,0.7282331585884094
29,421,466,468,582,0.5953783988952637
29,1031,350,1076,422,0.5571062564849854
29,1209,137,1280,247,0.5244957208633423
30,551,179,621,290,0.9986176490783691
30,1011,241,1084,355,0.9937213659286499
30,602,372,695,528,0.9855345487594604
30,1180,353,1274,513,0.9477958083152771
30,547,244,626,323,0.9376822113990784
30,1192,326,1274,452,0.9370816946029663
30,1006,288,1075,409,0.9307498335838318
30,1240,173,1280,251,0.8853619694709778
30,611,458,669,556,0.858753502368927
30,1210,110,1280,229,0.8502467274665833
30,389,445,470,584,0.7983725070953369
30,427,455,474,561,0.7381155490875244
30,1210,140,1280,250,0.6767222285270691
30,891,300,970,461,0.6662301421165466
30,367,483,452,623,0.6210554242134094
30,777,638,882,718,0.5646697282791138
30,446,442,476,534,0.5321148633956909
31,559,171,627,286,0.9980199337005615
31,1009,232,1083,350,0.9900492429733276
31,604,361,698,512,0.9879133105278015
31,380,422,482,572,0.9794551134109497
31,378,453,482,608,0.9776416420936584
31,1175,345,1269,496,0.967358410358429
31,1186,320,1270,446,0.9587569832801819
31,557,245,620,317,0.9482877850532532
31,781,623,887,720,0.9471989274024963
31,1003,289,1075,400,0.9423075318336487
31,621,464,665,545,0.9096896052360535
31,1211,112,1280,230,0.8753897547721863
31,902,293,971,408,0.8343174457550049
31,1237,164,1280,251,0.8284481763839722
31,109,500,247,667,0.7159909009933472
31,1211,141,1279,253,0.6647428274154663
31,899,313,966,448,0.6482974886894226
31,614,428,683,546,0.5684406161308289
32,1002,211,1075,330,0.9975624084472656
32,570,162,638,276,0.9951183795928955
32,1164,315,1272,485,0.9858958125114441
32,401,399,493,532,0.9820871949195862
32,1214,138,1279,256,0.9775017499923706
32,613,348,696,484,0.9729593992233276
32,892,275,966,422,0.9666078686714172
32,136,470,271,650,0.9596331119537354
32,571,237,629,305,0.9585129022598267
32,783,595,898,717,0.901487410068512
32,1000,282,1065,376,0.8966169357299805
32,624,429,675,521,0.8415095210075378
32,401,447,486,579,0.8384357690811157
32,1175,298,1258,423,0.8088433146476746
32,124,514,268,696,0.8016632795333862
32,1218,121,1279,227,0.7585279941558838
32,916,444,1012,581,0.6984915137290955
32,1241,165,1279,257,0.6126454472541809
32,471,428,497,489,0.6059849262237549
33,576,157,641,265,0.9960248470306396
33,997,203,1071,320,0.995513379573822
33,412,387,499,519,0.9932718873023987
33,614,341,704,471,0.9791226387023926
33,1215,140,1279,259,0.9725843667984009
33,1163,313,1255,466,0.9707604646682739
33,410,460,498,563,0.9635582566261292
33,577,236,632,298,0.9528918266296387
33,892,271,965,403,0.9294708967208862
33,793,584,900,716,0.9048231244087219
33,999,252,1062,364,0.9035889506340027
33,1167,292,1253,407,0.9005741477012634
33,0,579,75,715,0.8489156365394592
33,120,476,282,693,0.8403999209403992
33,148,460,271,646,0.8168675899505615
33,630,434,676,513,0.8072224259376526
33,1015,281,1057,364,0.7788069844245911
33,229,472,285,555,0.7218617796897888
33,916,427,1006,584,0.5207328200340271
33,789,615,821,720,0.5126091837882996
34,582,152,649,252,0.9977396726608276
34,997,195,1069,312,0.9948811531066895
34,619,331,702,461,0.9872417449951172
34,1159,321,1259,460,0.9799968004226685
34,790,581,887,719,0.9716768860816956
34,1167,279,1254,399,0.9703294634819031
34,583,228,635,293,0.9658677577972412
34,1218,144,1279,256,0.9617154002189636
34,413,378,520,549,0.9480210542678833
34,630,416,676,502,0.9444044232368469
34,414,368,516,509,0.9276469349861145
34,1000,269,1056,349,0.828611433506012
34,890,265,961,402,0.7622365355491638
34,178,442,279,558,0.7191082835197449
34,535,683,581,720,0.6996397972106934
34,616,334,664,455,0.5816241502761841
34,627,383,695,501,0.5614760518074036
34,1255,185,1280,261,0.5500339269638062
34,887,258,964,405,0.5477465391159058
34,257,480,296,547,0.5023486018180847
35,997,184,1068,303,0.997871994972229
35,590,148,654,249,0.9976882934570312
35,620,316,706,463,0.9858716130256653
35,426,354,513,495,0.9839997887611389
35,791,561,890,716,0.9697775840759277
35,1000,257,1053,339,0.9521223306655884
35,588,219,640,285,0.9516463875770569
35,1152,294,1246,442,0.9396699070930481
35,176,431,281,605,0.9209082722663879
35,426,407,500,531,0.9042354822158813
35,1218,142,1279,255,0.8315601944923401
35,881,262,964,400,0.8112684488296509
35,634,382,682,491,0.8054649233818054
35,253,450,305,534,0.7939608693122864
35,266,472,303,532,0.6567834615707397
35,908,411,990,495,0.6309862732887268
35,1162,286,1239,389,0.597050130367279
35,521,669,589,717,0.5255967974662781
35,1223,130,1279,241,0.5037444233894348
35,1174,281,1255,403,0.5018084049224854
36,593,140,656,264,0.9974684715270996
36,995,175,1064,301,0.9955806136131287
36,631,309,704,451,0.9887173175811768
36,788,545,880,708,0.9795931577682495
36,1150,276,1234,434,0.9738115072250366
36,885,249,963,384,0.9712634086608887
36,594,215,649,280,0.9691391587257385
36,191,418,290,560,0.9571805596351624
36,436,347,521,487,0.956377387046814
36,992,233,1051,329,0.9524022936820984
36,635,396,682,483,0.949544370174408
36,1221,139,1279,253,0.8693780303001404
36,899,397,986,543,0.8560183048248291
36,433,360,530,522,0.8359624147415161
36,1157,268,1224,379,0.8217276930809021
36,276,452,313,520,0.698204755783081
36,521,655,630,718,0.6844276189804077
36,623,319,660,433,0.5223602056503296
